"occupation1";"occupation2";"name1";"name2";"weight";"count";"max_count"
"11-2011.00";"53-3011.00";"11-2011.00";"53-3011.00";0,244897959183673;24;98
"11-2011.00";"53-3052.00";"11-2011.00";"53-3052.00";0,26530612244898;26;98
"11-2011.00";"53-4011.00";"11-2011.00";"53-4011.00";0,163265306122449;16;98
"11-2011.00";"53-5011.00";"11-2011.00";"53-5011.00";0,142857142857143;14;98
"11-2011.00";"53-6021.00";"11-2011.00";"53-6021.00";0,36734693877551;36;98
"11-2011.00";"53-6031.00";"11-2011.00";"53-6031.00";0,224489795918367;22;98
"11-2011.00";"53-6041.00";"11-2011.00";"53-6041.00";0,418367346938776;41;98
"11-2011.00";"53-6051.07";"11-2011.00";"53-6051.07";0,244897959183673;24;98
"11-2011.00";"53-6061.00";"11-2011.00";"53-6061.00";0,459183673469388;45;98
"11-2011.00";"53-7011.00";"11-2011.00";"53-7011.00";0,295918367346939;29;98
"11-2011.00";"53-7021.00";"11-2011.00";"53-7021.00";0,0918367346938776;9;98
"11-2011.00";"53-7063.00";"11-2011.00";"53-7063.00";0,244897959183673;24;98
"11-2011.00";"53-7071.00";"11-2011.00";"53-7071.00";0,23469387755102;23;98
"11-2011.00";"53-7073.00";"11-2011.00";"53-7073.00";0,163265306122449;16;98
"11-2011.00";"53-7121.00";"11-2011.00";"53-7121.00";0,163265306122449;16;98
"11-2021.00";"11-2022.00";"11-2021.00";"11-2022.00";0,826530612244898;81;98
"11-2021.00";"11-3012.00";"11-2021.00";"11-3012.00";0,663265306122449;65;98
"11-2021.00";"11-3021.00";"11-2021.00";"11-3021.00";0,806122448979592;79;98
"11-2021.00";"11-3051.03";"11-2021.00";"11-3051.03";0,591836734693878;58;98
"11-2021.00";"11-3051.06";"11-2021.00";"11-3051.06";0,561224489795918;55;98
"11-2021.00";"11-3071.04";"11-2021.00";"11-3071.04";0,816326530612245;80;98
"11-2021.00";"11-3121.00";"11-2021.00";"11-3121.00";0,857142857142857;84;98
"11-2021.00";"11-9031.00";"11-2021.00";"11-9031.00";0,73469387755102;72;98
"11-2021.00";"11-9032.00";"11-2021.00";"11-9032.00";0,795918367346939;78;98
"11-2021.00";"11-9033.00";"11-2021.00";"11-9033.00";0,862745098039216;88;102
"11-2021.00";"11-9051.00";"11-2021.00";"11-9051.00";0,612244897959184;60;98
"11-2021.00";"11-9081.00";"11-2021.00";"11-9081.00";0,653061224489796;64;98
"11-2021.00";"11-9131.00";"11-2021.00";"11-9131.00";0,76530612244898;75;98
"11-2021.00";"11-9151.00";"11-2021.00";"11-9151.00";0,81;81;100
"11-2021.00";"11-9199.02";"11-2021.00";"11-9199.02";0,755102040816326;74;98
"11-2021.00";"11-9199.08";"11-2021.00";"11-9199.08";0,714285714285714;70;98
"11-2021.00";"11-9199.10";"11-2021.00";"11-9199.10";0,775510204081633;76;98
"11-2021.00";"13-1022.00";"11-2021.00";"13-1022.00";0,76530612244898;75;98
"11-2021.00";"13-1023.00";"11-2021.00";"13-1023.00";0,83;83;100
"11-2021.00";"13-1032.00";"11-2021.00";"13-1032.00";0,530612244897959;52;98
"11-2021.00";"13-1041.03";"11-2021.00";"13-1041.03";0,744897959183674;73;98
"11-2021.00";"13-1041.04";"11-2021.00";"13-1041.04";0,530612244897959;52;98
"11-2021.00";"13-1041.07";"11-2021.00";"13-1041.07";0,744897959183674;73;98
"11-2021.00";"13-1041.08";"11-2021.00";"13-1041.08";0,806122448979592;79;98
"11-2021.00";"13-1071.00";"11-2021.00";"13-1071.00";0,76530612244898;75;98
"11-2021.00";"13-1081.00";"11-2021.00";"13-1081.00";0,826530612244898;81;98
"11-2021.00";"13-1121.00";"11-2021.00";"13-1121.00";0,693877551020408;68;98
"11-2021.00";"13-1161.00";"11-2021.00";"13-1161.00";0,836734693877551;82;98
"11-2021.00";"13-1199.04";"11-2021.00";"13-1199.04";0,857142857142857;84;98
"11-2021.00";"13-2053.00";"11-2021.00";"13-2053.00";0,73469387755102;72;98
"11-2021.00";"15-1212.00";"11-2021.00";"15-1212.00";0,724489795918367;71;98
"11-2021.00";"15-1221.00";"11-2021.00";"15-1221.00";0,673469387755102;66;98
"11-2021.00";"15-1243.01";"11-2021.00";"15-1243.01";0,744897959183674;73;98
"11-2021.00";"15-1244.00";"11-2021.00";"15-1244.00";0,571428571428571;56;98
"11-2021.00";"15-1251.00";"11-2021.00";"15-1251.00";0,673469387755102;66;98
"11-2021.00";"15-1254.00";"11-2021.00";"15-1254.00";0,76530612244898;75;98
"11-2021.00";"15-1299.01";"11-2021.00";"15-1299.01";0,73469387755102;72;98
"11-2021.00";"15-1299.09";"11-2021.00";"15-1299.09";0,821782178217822;83;101
"11-2021.00";"15-2051.02";"11-2021.00";"15-2051.02";0,76530612244898;75;98
"11-2021.00";"17-1021.00";"11-2021.00";"17-1021.00";0,622448979591837;61;98
"11-2021.00";"17-2011.00";"11-2021.00";"17-2011.00";0,673469387755102;66;98
"11-2021.00";"17-2041.00";"11-2021.00";"17-2041.00";0,591836734693878;58;98
"11-2021.00";"17-2072.01";"11-2021.00";"17-2072.01";0,673469387755102;66;98
"11-2021.00";"17-2112.02";"11-2021.00";"17-2112.02";0,63265306122449;62;98
"11-2021.00";"17-2112.03";"11-2021.00";"17-2112.03";0,489795918367347;48;98
"11-2021.00";"17-2151.00";"11-2021.00";"17-2151.00";0,724489795918367;71;98
"11-2021.00";"17-2199.03";"11-2021.00";"17-2199.03";0,744897959183674;73;98
"11-2021.00";"17-2199.06";"11-2021.00";"17-2199.06";0,581632653061224;57;98
"11-2021.00";"17-2199.07";"11-2021.00";"17-2199.07";0,551020408163265;54;98
"11-2021.00";"17-2199.08";"11-2021.00";"17-2199.08";0,510204081632653;50;98
"11-2021.00";"17-3013.00";"11-2021.00";"17-3013.00";0,510204081632653;50;98
"11-2021.00";"17-3021.00";"11-2021.00";"17-3021.00";0,5;49;98
"11-2021.00";"17-3022.00";"11-2021.00";"17-3022.00";0,612244897959184;60;98
"11-2021.00";"17-3024.01";"11-2021.00";"17-3024.01";0,295918367346939;29;98
"11-2021.00";"17-3027.01";"11-2021.00";"17-3027.01";0,244897959183673;24;98
"11-2021.00";"19-1029.04";"11-2021.00";"19-1029.04";0,642857142857143;63;98
"11-2021.00";"19-2043.00";"11-2021.00";"19-2043.00";0,63265306122449;62;98
"11-2021.00";"19-3022.00";"11-2021.00";"19-3022.00";0,806122448979592;79;98
"11-2021.00";"19-3034.00";"11-2021.00";"19-3034.00";0,704081632653061;69;98
"11-2021.00";"19-3093.00";"11-2021.00";"19-3093.00";0,663265306122449;65;98
"11-2021.00";"19-4021.00";"11-2021.00";"19-4021.00";0,530612244897959;52;98
"11-2021.00";"19-4061.00";"11-2021.00";"19-4061.00";0,714285714285714;70;98
"11-2021.00";"19-4071.00";"11-2021.00";"19-4071.00";0,275510204081633;27;98
"11-2021.00";"21-1021.00";"11-2021.00";"21-1021.00";0,663265306122449;65;98
"11-2021.00";"21-1091.00";"11-2021.00";"21-1091.00";0,693877551020408;68;98
"11-2021.00";"23-2093.00";"11-2021.00";"23-2093.00";0,591836734693878;58;98
"11-2021.00";"25-1011.00";"11-2021.00";"25-1011.00";0,76530612244898;75;98
"11-2021.00";"25-1021.00";"11-2021.00";"25-1021.00";0,775510204081633;76;98
"11-2021.00";"25-1022.00";"11-2021.00";"25-1022.00";0,683673469387755;67;98
"11-2021.00";"25-1031.00";"11-2021.00";"25-1031.00";0,775510204081633;76;98
"11-2021.00";"25-1032.00";"11-2021.00";"25-1032.00";0,704081632653061;69;98
"11-2021.00";"25-1041.00";"11-2021.00";"25-1041.00";0,704081632653061;69;98
"11-2021.00";"25-1042.00";"11-2021.00";"25-1042.00";0,714285714285714;70;98
"11-2021.00";"25-1051.00";"11-2021.00";"25-1051.00";0,693877551020408;68;98
"11-2021.00";"25-1052.00";"11-2021.00";"25-1052.00";0,704081632653061;69;98
"11-2021.00";"25-1053.00";"11-2021.00";"25-1053.00";0,76530612244898;75;98
"11-2021.00";"25-1054.00";"11-2021.00";"25-1054.00";0,663265306122449;65;98
"11-2021.00";"25-1061.00";"11-2021.00";"25-1061.00";0,73469387755102;72;98
"11-2021.00";"25-1062.00";"11-2021.00";"25-1062.00";0,785714285714286;77;98
"11-2021.00";"25-1063.00";"11-2021.00";"25-1063.00";0,744897959183674;73;98
"11-2021.00";"25-1064.00";"11-2021.00";"25-1064.00";0,744897959183674;73;98
"11-2021.00";"25-1065.00";"11-2021.00";"25-1065.00";0,755102040816326;74;98
"11-2021.00";"25-1066.00";"11-2021.00";"25-1066.00";0,714285714285714;70;98
"11-2021.00";"25-1067.00";"11-2021.00";"25-1067.00";0,724489795918367;71;98
"11-2021.00";"25-1071.00";"11-2021.00";"25-1071.00";0,663265306122449;65;98
"11-2021.00";"25-1072.00";"11-2021.00";"25-1072.00";0,76530612244898;75;98
"11-2021.00";"25-1081.00";"11-2021.00";"25-1081.00";0,755102040816326;74;98
"11-2021.00";"25-1082.00";"11-2021.00";"25-1082.00";0,775510204081633;76;98
"11-2021.00";"25-1111.00";"11-2021.00";"25-1111.00";0,73469387755102;72;98
"11-2021.00";"25-1112.00";"11-2021.00";"25-1112.00";0,714285714285714;70;98
"11-2021.00";"25-1121.00";"11-2021.00";"25-1121.00";0,663265306122449;65;98
"11-2021.00";"25-1122.00";"11-2021.00";"25-1122.00";0,795918367346939;78;98
"11-2021.00";"25-1123.00";"11-2021.00";"25-1123.00";0,744897959183674;73;98
"11-2021.00";"25-1124.00";"11-2021.00";"25-1124.00";0,673469387755102;66;98
"11-2021.00";"25-1125.00";"11-2021.00";"25-1125.00";0,683673469387755;67;98
"11-2021.00";"25-1126.00";"11-2021.00";"25-1126.00";0,73469387755102;72;98
"11-2021.00";"25-1192.00";"11-2021.00";"25-1192.00";0,785714285714286;77;98
"11-2021.00";"25-1193.00";"11-2021.00";"25-1193.00";0,744897959183674;73;98
"11-2021.00";"25-1194.00";"11-2021.00";"25-1194.00";0,5;49;98
"11-2021.00";"25-2011.00";"11-2021.00";"25-2011.00";0,571428571428571;56;98
"11-2021.00";"25-2012.00";"11-2021.00";"25-2012.00";0,663265306122449;65;98
"11-2021.00";"25-2023.00";"11-2021.00";"25-2023.00";0,714285714285714;70;98
"11-2021.00";"25-2031.00";"11-2021.00";"25-2031.00";0,76530612244898;75;98
"11-2021.00";"25-2032.00";"11-2021.00";"25-2032.00";0,744897959183674;73;98
"11-2021.00";"25-2051.00";"11-2021.00";"25-2051.00";0,673469387755102;66;98
"11-2021.00";"25-2057.00";"11-2021.00";"25-2057.00";0,775510204081633;76;98
"11-2021.00";"25-2058.00";"11-2021.00";"25-2058.00";0,764150943396226;81;106
"11-2021.00";"25-3011.00";"11-2021.00";"25-3011.00";0,744897959183674;73;98
"11-2021.00";"25-3021.00";"11-2021.00";"25-3021.00";0,602040816326531;59;98
"11-2021.00";"25-4012.00";"11-2021.00";"25-4012.00";0,785714285714286;77;98
"11-2021.00";"25-4013.00";"11-2021.00";"25-4013.00";0,448979591836735;44;98
"11-2021.00";"25-4031.00";"11-2021.00";"25-4031.00";0,591836734693878;58;98
"11-2021.00";"25-9031.00";"11-2021.00";"25-9031.00";0,823529411764706;84;102
"11-2021.00";"25-9044.00";"11-2021.00";"25-9044.00";0,673469387755102;66;98
"11-2021.00";"27-1012.00";"11-2021.00";"27-1012.00";0,36734693877551;36;98
"11-2021.00";"27-1013.00";"11-2021.00";"27-1013.00";0,438775510204082;43;98
"11-2021.00";"27-1014.00";"11-2021.00";"27-1014.00";0,653061224489796;64;98
"11-2021.00";"27-1021.00";"11-2021.00";"27-1021.00";0,683673469387755;67;98
"11-2021.00";"27-1023.00";"11-2021.00";"27-1023.00";0,5;49;98
"11-2021.00";"27-1026.00";"11-2021.00";"27-1026.00";0,479591836734694;47;98
"11-2021.00";"27-2011.00";"11-2021.00";"27-2011.00";0,520408163265306;51;98
"11-2021.00";"27-2012.04";"11-2021.00";"27-2012.04";0,785714285714286;77;98
"11-2021.00";"27-2012.05";"11-2021.00";"27-2012.05";0,642857142857143;63;98
"11-2021.00";"27-2021.00";"11-2021.00";"27-2021.00";0,326530612244898;32;98
"11-2021.00";"27-2022.00";"11-2021.00";"27-2022.00";0,653061224489796;64;98
"11-2021.00";"27-2031.00";"11-2021.00";"27-2031.00";0,377551020408163;37;98
"11-2021.00";"27-3011.00";"11-2021.00";"27-3011.00";0,622448979591837;61;98
"11-2021.00";"27-3041.00";"11-2021.00";"27-3041.00";0,806122448979592;79;98
"11-2021.00";"27-4011.00";"11-2021.00";"27-4011.00";0,36734693877551;36;98
"11-2021.00";"27-4012.00";"11-2021.00";"27-4012.00";0,418367346938776;41;98
"11-2021.00";"27-4031.00";"11-2021.00";"27-4031.00";0,397959183673469;39;98
"11-2021.00";"29-9093.00";"11-2021.00";"29-9093.00";0,326530612244898;32;98
"11-2021.00";"31-1132.00";"11-2021.00";"31-1132.00";0,295918367346939;29;98
"11-2021.00";"31-9097.00";"11-2021.00";"31-9097.00";0,346938775510204;34;98
"11-2021.00";"33-2022.00";"11-2021.00";"33-2022.00";0,377551020408163;37;98
"11-2021.00";"33-3021.02";"11-2021.00";"33-3021.02";0,510204081632653;50;98
"11-2021.00";"33-3041.00";"11-2021.00";"33-3041.00";0,275510204081633;27;98
"11-2021.00";"33-3052.00";"11-2021.00";"33-3052.00";0,36734693877551;36;98
"11-2021.00";"33-9011.00";"11-2021.00";"33-9011.00";0,36734693877551;36;98
"11-2021.00";"33-9021.00";"11-2021.00";"33-9021.00";0,704081632653061;69;98
"11-2021.00";"33-9031.00";"11-2021.00";"33-9031.00";0,551020408163265;54;98
"11-2021.00";"33-9091.00";"11-2021.00";"33-9091.00";0,357142857142857;35;98
"11-2021.00";"35-1012.00";"11-2021.00";"35-1012.00";0,510204081632653;50;98
"11-2021.00";"35-2011.00";"11-2021.00";"35-2011.00";0,408163265306122;40;98
"11-2021.00";"35-2012.00";"11-2021.00";"35-2012.00";0,408163265306122;40;98
"11-2021.00";"35-2014.00";"11-2021.00";"35-2014.00";0,397959183673469;39;98
"11-2021.00";"35-2015.00";"11-2021.00";"35-2015.00";0,448979591836735;44;98
"11-2021.00";"35-3011.00";"11-2021.00";"35-3011.00";0,428571428571429;42;98
"11-2021.00";"35-3023.01";"11-2021.00";"35-3023.01";0,377551020408163;37;98
"11-2021.00";"35-3031.00";"11-2021.00";"35-3031.00";0,408163265306122;40;98
"11-2021.00";"35-9031.00";"11-2021.00";"35-9031.00";0,459183673469388;45;98
"11-2021.00";"37-2021.00";"11-2021.00";"37-2021.00";0,387755102040816;38;98
"11-2021.00";"37-3011.00";"11-2021.00";"37-3011.00";0,204081632653061;20;98
"11-2021.00";"37-3012.00";"11-2021.00";"37-3012.00";0,173469387755102;17;98
"11-2021.00";"37-3013.00";"11-2021.00";"37-3013.00";0,153061224489796;15;98
"11-2021.00";"39-2021.00";"11-2021.00";"39-2021.00";0,336734693877551;33;98
"11-2021.00";"39-3011.00";"11-2021.00";"39-3011.00";0,5;49;98
"11-2021.00";"39-3031.00";"11-2021.00";"39-3031.00";0,428571428571429;42;98
"11-2021.00";"39-3092.00";"11-2021.00";"39-3092.00";0,479591836734694;47;98
"11-2021.00";"39-5011.00";"11-2021.00";"39-5011.00";0,408163265306122;40;98
"11-2021.00";"39-5012.00";"11-2021.00";"39-5012.00";0,5;49;98
"11-2021.00";"39-5091.00";"11-2021.00";"39-5091.00";0,520408163265306;51;98
"11-2021.00";"39-5092.00";"11-2021.00";"39-5092.00";0,438775510204082;43;98
"11-2021.00";"39-6011.00";"11-2021.00";"39-6011.00";0,306122448979592;30;98
"11-2021.00";"39-9011.00";"11-2021.00";"39-9011.00";0,602040816326531;59;98
"11-2021.00";"39-9032.00";"11-2021.00";"39-9032.00";0,63265306122449;62;98
"11-2021.00";"39-9041.00";"11-2021.00";"39-9041.00";0,530612244897959;52;98
"11-2021.00";"41-1011.00";"11-2021.00";"41-1011.00";0,591836734693878;58;98
"11-2021.00";"41-2012.00";"11-2021.00";"41-2012.00";0,408163265306122;40;98
"11-2021.00";"41-2021.00";"11-2021.00";"41-2021.00";0,438775510204082;43;98
"11-2021.00";"41-2031.00";"11-2021.00";"41-2031.00";0,510204081632653;50;98
"11-2021.00";"41-3011.00";"11-2021.00";"41-3011.00";0,704081632653061;69;98
"11-2021.00";"41-3021.00";"11-2021.00";"41-3021.00";0,73469387755102;72;98
"11-2021.00";"41-3041.00";"11-2021.00";"41-3041.00";0,642857142857143;63;98
"11-2021.00";"41-9011.00";"11-2021.00";"41-9011.00";0,479591836734694;47;98
"11-2021.00";"41-9021.00";"11-2021.00";"41-9021.00";0,693877551020408;68;98
"11-2021.00";"41-9022.00";"11-2021.00";"41-9022.00";0,653061224489796;64;98
"11-2021.00";"41-9091.00";"11-2021.00";"41-9091.00";0,602040816326531;59;98
"11-2021.00";"43-1011.00";"11-2021.00";"43-1011.00";0,76530612244898;75;98
"11-2021.00";"43-3011.00";"11-2021.00";"43-3011.00";0,602040816326531;59;98
"11-2021.00";"43-3031.00";"11-2021.00";"43-3031.00";0,63265306122449;62;98
"11-2021.00";"43-3071.00";"11-2021.00";"43-3071.00";0,561224489795918;55;98
"11-2021.00";"43-4081.00";"11-2021.00";"43-4081.00";0,612244897959184;60;98
"11-2021.00";"43-4121.00";"11-2021.00";"43-4121.00";0,510204081632653;50;98
"11-2021.00";"43-4131.00";"11-2021.00";"43-4131.00";0,73469387755102;72;98
"11-2021.00";"43-4161.00";"11-2021.00";"43-4161.00";0,683673469387755;67;98
"11-2021.00";"43-5021.00";"11-2021.00";"43-5021.00";0,326530612244898;32;98
"11-2021.00";"43-5041.00";"11-2021.00";"43-5041.00";0,173469387755102;17;98
"11-2021.00";"43-5051.00";"11-2021.00";"43-5051.00";0,489795918367347;48;98
"11-2021.00";"43-5052.00";"11-2021.00";"43-5052.00";0,326530612244898;32;98
"11-2021.00";"43-5053.00";"11-2021.00";"43-5053.00";0,306122448979592;30;98
"11-2021.00";"43-5071.00";"11-2021.00";"43-5071.00";0,275510204081633;27;98
"11-2021.00";"43-5111.00";"11-2021.00";"43-5111.00";0,346938775510204;34;98
"11-2021.00";"43-6011.00";"11-2021.00";"43-6011.00";0,683673469387755;67;98
"11-2021.00";"43-6014.00";"11-2021.00";"43-6014.00";0,571428571428571;56;98
"11-2021.00";"43-9021.00";"11-2021.00";"43-9021.00";0,489795918367347;48;98
"11-2021.00";"43-9022.00";"11-2021.00";"43-9022.00";0,510204081632653;50;98
"11-2021.00";"43-9051.00";"11-2021.00";"43-9051.00";0,295918367346939;29;98
"11-2021.00";"43-9061.00";"11-2021.00";"43-9061.00";0,602040816326531;59;98
"11-2021.00";"43-9071.00";"11-2021.00";"43-9071.00";0,387755102040816;38;98
"11-2021.00";"43-9081.00";"11-2021.00";"43-9081.00";0,540816326530612;53;98
"11-2021.00";"43-9111.00";"11-2021.00";"43-9111.00";0,714285714285714;70;98
"11-2021.00";"45-2021.00";"11-2021.00";"45-2021.00";0,255102040816327;25;98
"11-2021.00";"45-2041.00";"11-2021.00";"45-2041.00";0,346938775510204;34;98
"11-2021.00";"45-2091.00";"11-2021.00";"45-2091.00";0,163265306122449;16;98
"11-2021.00";"45-2093.00";"11-2021.00";"45-2093.00";0,193877551020408;19;98
"11-2021.00";"45-4022.00";"11-2021.00";"45-4022.00";0,193877551020408;19;98
"11-2021.00";"45-4023.00";"11-2021.00";"45-4023.00";0,255102040816327;25;98
"11-2021.00";"47-2011.00";"11-2021.00";"47-2011.00";0,163265306122449;16;98
"11-2021.00";"47-2021.00";"11-2021.00";"47-2021.00";0,23469387755102;23;98
"11-2021.00";"47-2051.00";"11-2021.00";"47-2051.00";0,23469387755102;23;98
"11-2021.00";"47-2053.00";"11-2021.00";"47-2053.00";0,173469387755102;17;98
"11-2021.00";"47-2072.00";"11-2021.00";"47-2072.00";0,102040816326531;10;98
"11-2021.00";"47-2081.00";"11-2021.00";"47-2081.00";0,183673469387755;18;98
"11-2021.00";"47-2082.00";"11-2021.00";"47-2082.00";0,244897959183673;24;98
"11-2021.00";"47-2131.00";"11-2021.00";"47-2131.00";0,193877551020408;19;98
"11-2021.00";"47-2151.00";"11-2021.00";"47-2151.00";0,173469387755102;17;98
"11-2021.00";"47-2152.04";"11-2021.00";"47-2152.04";0,275510204081633;27;98
"11-2021.00";"47-2161.00";"11-2021.00";"47-2161.00";0,183673469387755;18;98
"11-2021.00";"47-2171.00";"11-2021.00";"47-2171.00";0,255102040816327;25;98
"11-2021.00";"47-2181.00";"11-2021.00";"47-2181.00";0,204081632653061;20;98
"11-2021.00";"47-2221.00";"11-2021.00";"47-2221.00";0,13265306122449;13;98
"11-2021.00";"47-4031.00";"11-2021.00";"47-4031.00";0,224489795918367;22;98
"11-2021.00";"47-4041.00";"11-2021.00";"47-4041.00";0,214285714285714;21;98
"11-2021.00";"47-4051.00";"11-2021.00";"47-4051.00";0,204081632653061;20;98
"11-2021.00";"47-4061.00";"11-2021.00";"47-4061.00";0,244897959183673;24;98
"11-2021.00";"47-4071.00";"11-2021.00";"47-4071.00";0,183673469387755;18;98
"11-2021.00";"47-5023.00";"11-2021.00";"47-5023.00";0,153061224489796;15;98
"11-2021.00";"47-5041.00";"11-2021.00";"47-5041.00";0,163265306122449;16;98
"11-2021.00";"47-5043.00";"11-2021.00";"47-5043.00";0,142857142857143;14;98
"11-2021.00";"47-5081.00";"11-2021.00";"47-5081.00";0,183673469387755;18;98
"11-2021.00";"49-2011.00";"11-2021.00";"49-2011.00";0,397959183673469;39;98
"11-2021.00";"49-2022.00";"11-2021.00";"49-2022.00";0,244897959183673;24;98
"11-2021.00";"49-2091.00";"11-2021.00";"49-2091.00";0,23469387755102;23;98
"11-2021.00";"49-2092.00";"11-2021.00";"49-2092.00";0,214285714285714;21;98
"11-2021.00";"49-2093.00";"11-2021.00";"49-2093.00";0,285714285714286;28;98
"11-2021.00";"49-2095.00";"11-2021.00";"49-2095.00";0,275510204081633;27;98
"11-2021.00";"49-2096.00";"11-2021.00";"49-2096.00";0,275510204081633;27;98
"11-2021.00";"49-2098.00";"11-2021.00";"49-2098.00";0,214285714285714;21;98
"11-2021.00";"49-3021.00";"11-2021.00";"49-3021.00";0,244897959183673;24;98
"11-2021.00";"49-3041.00";"11-2021.00";"49-3041.00";0,153061224489796;15;98
"11-2021.00";"49-3042.00";"11-2021.00";"49-3042.00";0,153061224489796;15;98
"11-2021.00";"49-3043.00";"11-2021.00";"49-3043.00";0,102040816326531;10;98
"11-2021.00";"49-3051.00";"11-2021.00";"49-3051.00";0,183673469387755;18;98
"11-2021.00";"49-3053.00";"11-2021.00";"49-3053.00";0,204081632653061;20;98
"11-2021.00";"49-3091.00";"11-2021.00";"49-3091.00";0,255102040816327;25;98
"11-2021.00";"49-3092.00";"11-2021.00";"49-3092.00";0,173469387755102;17;98
"11-2021.00";"49-9011.00";"11-2021.00";"49-9011.00";0,173469387755102;17;98
"11-2021.00";"49-9012.00";"11-2021.00";"49-9012.00";0,142857142857143;14;98
"11-2021.00";"49-9031.00";"11-2021.00";"49-9031.00";0,26530612244898;26;98
"11-2021.00";"49-9052.00";"11-2021.00";"49-9052.00";0,163265306122449;16;98
"11-2021.00";"49-9061.00";"11-2021.00";"49-9061.00";0,469387755102041;46;98
"11-2021.00";"49-9063.00";"11-2021.00";"49-9063.00";0,36734693877551;36;98
"11-2021.00";"49-9064.00";"11-2021.00";"49-9064.00";0,336734693877551;33;98
"11-2021.00";"49-9091.00";"11-2021.00";"49-9091.00";0,244897959183673;24;98
"11-2021.00";"49-9092.00";"11-2021.00";"49-9092.00";0,173469387755102;17;98
"11-2021.00";"49-9094.00";"11-2021.00";"49-9094.00";0,26530612244898;26;98
"11-2021.00";"51-2011.00";"11-2021.00";"51-2011.00";0,193877551020408;19;98
"11-2021.00";"51-2021.00";"11-2021.00";"51-2021.00";0,285714285714286;28;98
"11-2021.00";"51-2023.00";"11-2021.00";"51-2023.00";0,224489795918367;22;98
"11-2021.00";"51-3011.00";"11-2021.00";"51-3011.00";0,377551020408163;37;98
"11-2021.00";"51-3021.00";"11-2021.00";"51-3021.00";0,295918367346939;29;98
"11-2021.00";"51-3022.00";"11-2021.00";"51-3022.00";0,336734693877551;33;98
"11-2021.00";"51-3023.00";"11-2021.00";"51-3023.00";0,204081632653061;20;98
